[2025-11-19 13:37:03] [INFO] Function: FaceCheckService(), Line: 233, Message: ✅ FaceCheckService initialized (ArcFace assumed pre-loaded).
[2025-11-19 13:37:04] [INFO] Function: loadDatabase(), Line: 54, Message: Found 7 pictures in database.
[2025-11-19 13:37:04] [INFO] Function: loadDatabase(), Line: 71, Message: Feature norm for /workspaces/TestGit/DB/20521422_1.jpg: 11.313709
[2025-11-19 13:37:04] [INFO] Function: loadDatabase(), Line: 71, Message: Feature norm for /workspaces/TestGit/DB/20521422_2.jpg: 11.313708
[2025-11-19 13:37:04] [INFO] Function: loadDatabase(), Line: 71, Message: Feature norm for /workspaces/TestGit/DB/20521422_3.jpg: 11.313709
[2025-11-19 13:37:04] [INFO] Function: loadDatabase(), Line: 71, Message: Feature norm for /workspaces/TestGit/DB/20521422_4.jpg: 11.313709
[2025-11-19 13:37:04] [INFO] Function: loadDatabase(), Line: 71, Message: Feature norm for /workspaces/TestGit/DB/20521422_5.jpg: 11.313708
[2025-11-19 13:37:04] [INFO] Function: loadDatabase(), Line: 71, Message: Feature norm for /workspaces/TestGit/DB/20521422_6.jpg: 11.313709
[2025-11-19 13:37:04] [INFO] Function: loadDatabase(), Line: 71, Message: Feature norm for /workspaces/TestGit/DB/20521422_7.jpg: 11.313708
[2025-11-19 13:37:04] [INFO] Function: loadDatabase(), Line: 83, Message: Loaded 7 faces in total
[2025-11-19 13:37:04] [INFO] Function: init(), Line: 20, Message: ProducerCamIpml: Opening video file ./test/Huyen.mp4
[2025-11-19 13:37:06] [INFO] Function: produceElement(), Line: 37, Message: 3'

[2025-11-19 13:37:07] [INFO] Function: load(), Line: 252, Message: Face Mesh load done!
[2025-11-19 13:37:07] [INFO] Function: loginWithFace(), Line: 191, Message: Liveness score: 1.000000
[2025-11-19 13:37:07] [INFO] Function: loginWithFace(), Line: 217, Message: Cosine similarity score: 0.727608
[2025-11-19 13:37:07] [INFO] Function: loginWithFace(), Line: 220, Message: ✅ Match found! Cosine = 0.727608
[2025-11-19 13:37:07] [INFO] Function: produceElement(), Line: 37, Message: 3'

[2025-11-19 13:37:07] [INFO] Function: loginWithFace(), Line: 191, Message: Liveness score: 0.999998
[2025-11-19 13:37:07] [INFO] Function: loginWithFace(), Line: 217, Message: Cosine similarity score: 0.713853
[2025-11-19 13:37:07] [INFO] Function: loginWithFace(), Line: 220, Message: ✅ Match found! Cosine = 0.713853
[2025-11-19 13:37:07] [INFO] Function: loginWithFace(), Line: 191, Message: Liveness score: 1.000000
[2025-11-19 13:37:07] [INFO] Function: loginWithFace(), Line: 217, Message: Cosine similarity score: 0.669533
[2025-11-19 13:37:07] [INFO] Function: loginWithFace(), Line: 220, Message: ✅ Match found! Cosine = 0.669533
